"Reference","Qty","Value","Manufacturer","Part number","SKU","Category"
"BZ1","1","KSSGL4B12-S","Kingstate","KSSGL4B12-S","",""
"C1,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22","12","100n","YAGEO","CS0402KRX7R7BB104","",""
"C2","1","22u","YAGEO","CC0805KKX5R5BB226","",""
"C3","1","2u2","YAGEO","CC0805KKX7R6BB225","",""
"C6,C9,C10","3","10u","YAGEO","CC0805KFX7R6BB106","",""
"C7,C8","2","4u7","YAGEO","CC0805KFX7R7BB475","",""
"D1","1","1N4148WT","ONSEMI","1N4148WT","",""
"D2,D5","2","0805 B LED","MULTICOMP PRO","MP008292","",""
"D3,D4","2","0805 R LED","MULTICOMP PRO","MP008293","",""
"D6,D7","2","SL04-E3-08","Vishay","SL04-E3-08","",""
"D8","1","D_SMBJ5.0A","Littelfuse","SMBJ5.0A","",""
"D9","1","SP1004U-ULC-04UTG","Littelfuse","SP1004U-ULC-04UTG","",""
"H1,H2,H3,H4,H5,H6,H7,H8","8","B32-2010","OMRON","B32-2010","",""
"H26,H27,H28,H29","4","9774030151R","Würth Elektronik","9774030151R","",""
"H30,H31,H32","3","9774100151R","Würth Elektronik","9774100151R","",""
"H34,H35,H36,H37","4","9774020951R","Würth Elektronik","9774020951R","",""
"J1","1","Conn_01x08_S8B-PH-K-S(LF)(SN)","JST","S8B-PH-K-S(LF)(SN)","",""
"J2","1","Conn_02x20_2214SM-40G-75-PCR","MULTICOMP PRO","2214SM-40G-75-PCR","",""
"J3","1","Conn_01x02_B2B-PH-K-S(LF)(SN)","JST","B2B-PH-K-S(LF)(SN)","",""
"J4","1","USB_C_USB4930-00-A","GCT","USB4930-00-A","",""
"J5","1","Conn_01x03_MC34747","MULTICOMP PRO","MC34747","",""
"J6,J7","2","Conn_01x04_SFV4R-3STBE1HLF/C","Amphenol","SFV4R-3STBE1HLF/C","",""
"L1","1","L_LQH44PH100MPRL","Murata","LQH44PH100MPRL","",""
"Q1","1","Q_BC817-25","MULTICOMP PRO","BC817-25","",""
"Q2","1","Q_FDC6561AN","ON Semiconductor","FDC6561AN","",""
"R1,R12","2","1k","YAGEO","RC0402FR-071KL","",""
"R3,R11,R13,R16,R18,R25,R26","7","10k","YAGEO","RC0402FR-0710KL","",""
"R4,R5","2","5k1","YAGEO","RC0402FR-075K1L","",""
"R6","1","100k","YAGEO","RC0402FR-07100KL","",""
"R7","1","33k","YAGEO","RC0402FR-0733KL","",""
"R8,R9,R24","3","100R","YAGEO","RC0402JR-07100RL","",""
"R10","1","47R","YAGEO","RC0402JR-0747RL","",""
"R14,R20","2","2k7","YAGEO","RC0402FR-072K7L","",""
"R15","1","0R01","YAGEO","RL2512FK-070R01L","",""
"R21","1","330R","YAGEO","RC0805FR-07330RL","",""
"R22,R23","2","0R","YAGEO","RC0805JR-070RL","",""
"R27","1","0R","YAGEO","RC0402JR-070RL","",""
"R28","1","330R","YAGEO","RC0402FR-07330RL","",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7","7","SW_B3FS-1050","OMRON","B3FS-1050","",""
"SW8","1","SW_B3F-3150","OMRON","B3F-3150","",""
"SW9","1","1825232-1","TE Connectivity","1825232-1","",""
"U1","1","INA219BIDR","Texas Instruments","INA219BIDR","",""
"U2","1","MIC2250-1YD5-TR","Microchip Technology","MIC2250-1YD5-TR","",""
"U3","1","MCP73871T-2CCI/ML","Microchip Technology","MCP73871T-2CCI/ML","",""
"U5","1","AP9101CAK6-ABTRG1","Diodes Inc.","AP9101CAK6-ABTRG1","",""
"U6","1","LIS2DW12TR","STMicroelectronics","LIS2DW12TR","",""
"H9,H10,H11,H12","4","1386735","Bossard","1386735","","Fasteners"
"H40,H41,H42,H43","4","M2.5x8","KRAFTBERG","M2.5X8/D7985","","Fasteners"
"H44,H45,H46,H47","4","M2.5x12","KRAFTBERG","M2.5X12/D7985","","Fasteners"
"H53,H54,H55,H56","4","M2.5x5","KRAFTBERG","M2.5X5/D7985","","Fasteners"
"H13","1","18366","Waveshare","18366","","OTS"
"H14","1","ODS105","Odseven","ODS105","","OTS"
"H15","1","10304","","10304","","OTS"
"H16","1","Raspberry Pi Zero 2 W","Raspberry Pi","SC1176","","OTS"
"H17,H18","2","PHR-8","JST","PHR-8","","Wire harness"
"H19,H20,H21,H22,H23,H24,H25,H52","8","01SPHSPH-26L-150","JST","01SPHSPH-26L-150","","Wire harness"
"H48,H49","2","SPH-002T-P0.5S","JST","SPH-002T-P0.5S","","Wire harness"
"H50","1","PHR-2","JST","PHR-2","","Wire harness"
"H57","1","05-04-D-0050-A-4-06-4-T","GCT","05-04-D-0050-A-4-06-4-T","","Wire harness"
